cigar_name,source_group,retailer,url,domain,status,field,previous_value,current_value,note
Foundation Olmec Claro Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/foundation-olmec-claro-robusto-cigar-single-p-59784.html,www.cgarsltd.co.uk,error,price,£25.49,,HTTP 403
Foundation Olmec Claro Robusto,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/foundation-olmec-claro-robusto-cigar-single/,www.havanahouse.co.uk,unchanged,price,£22.96,£22.96,In Stock
Quai d'Orsay No. 50,ukPrices,C.Gars Ltd,https://www.cgarsltd.co.uk/,www.cgarsltd.co.uk,error,price,£24.00,,HTTP 403
Quai d'Orsay No.50,ukPrices,C.Gars Ltd,https://www.cgarsltd.co.uk/,www.cgarsltd.co.uk,error,price,£23.00,,HTTP 403
Plasencia Alma Fuerte Sixto II,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-sixto-cigar-single-p-30392.html,www.cgarsltd.co.uk,error,price,£38.99,,HTTP 403
Plasencia Alma Fuerte Sixto II,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-sixto-ii-cigar-single/,www.havanahouse.co.uk,unchanged,price,£35.20,£35.20,In Stock
Plasencia Alma Fuerte Sixto II,ukPrices,simplycigars,https://www.simplycigars.co.uk/plasencia-alma-fuerte-sixto-single-cigar-p-5034.html,www.simplycigars.co.uk,unchanged,price,£40.28,£40.28,In Stock
Plasencia Alma Fuerte Sixto II,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-sixto-ii-cigar?variant=43665093132545,egmcigars.com,changed,price,£21.99,£22.04,In Stock
Plasencia Alma Fuerte Robustus II,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-colorado-claro-robustus-cigar-single-p-58034.html?keywords=Plasencia+Alma+Fuerte+Robustus+II,www.cgarsltd.co.uk,error,price,£32.99,,HTTP 403
Plasencia Alma Fuerte Robustus II,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-colorado-claro-robustus-ii-cigar-single/,www.havanahouse.co.uk,unchanged,price,£25.96,£25.96,In Stock
Plasencia Alma del Campo Guajiro,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-guajiro-cigar?variant=43665427726593,egmcigars.com,changed,price,£16.99,£16.79,Out of Stock
Plasencia Alma del Campo Sendero,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-del-campo-sendero-cigar-single-p-30368.html,www.cgarsltd.co.uk,error,price,£24.99,,HTTP 403
Plasencia Alma del Campo Sendero,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-sendero-cigar?variant=43665431920897,egmcigars.com,changed,price,£16.99,£16.79,In Stock
Plasencia Cosecha 149 Santa Fe,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-149-santa-fe?_pos=1&_sid=57a95d2f4&_ss=r,egmcigars.com,changed,price,£13.99,£13.64,Out of Stock
Plasencia Alma Fuerte Colorado Claro Robustus II,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-colorado-claro-robustus-cigar-single-p-58034.html,www.cgarsltd.co.uk,error,price,£32.99,,HTTP 403
Plasencia Alma Fuerte Colorado Claro Robustus II,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-colorado-claro-robustus-ii-cigar-single/,www.havanahouse.co.uk,unchanged,price,£25.96,£25.96,In Stock
Plasencia Reserva Original Corona,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-reserva-original-corona-corta-cigar-single-p-64026.html?keywords=Plasencia+Reserva+Original,www.cgarsltd.co.uk,error,price,£15.99,,HTTP 403
Plasencia Reserva Original Corona,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-reserva-original-corona-corta-cigar-single/,www.havanahouse.co.uk,unchanged,price,£13.99,£13.99,In Stock
Plasencia Reserva Original Corona,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-corona-cigar?variant=43667146473729,egmcigars.com,changed,price,£9.99,£10.00,Out of Stock
